,srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
0,2829088,0,3,560011,233,233,131,0,0,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,9.576745267082199
1,2829866,1,2,110018,233,233,228,0,0,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,9.886721857045815
2,2894489,1,3,560011,233,233,228,1,0,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,11.625067322411095
3,2876708,1,2,110018,233,233,228,2,0,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,13.550147635692328
4,2890283,0,22,400104,233,233,131,1,0,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,15.650350371979128
5,2897438,2,6,160059,233,233,131,2,0,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,15.314537049920467
6,2849010,2,2,110018,233,233,228,0,0,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,11.34248793119598
7,2887783,3,2,110018,233,233,228,0,0,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,15.214174044040146
8,2941799,0,21,110015,233,233,131,2,0,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,13.681830791317514
9,2973976,0,22,400104,233,233,131,0,0,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,11.075582664982525
10,2977421,4,2,110018,233,233,131,0,0,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,13.205153595750172
11,2982990,0,26,560066,233,233,131,0,0,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,11.594417874146817
12,2979785,1,2,110018,233,233,131,0,0,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,12.10569283680898
13,2984029,5,1,400059,233,233,131,2,0,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,15.61999518677321
14,3012909,6,2,110018,233,233,131,0,0,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,13.25793226936276
15,3030307,1,27,110034,233,233,131,0,0,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,12.312897685035345
16,3048314,0,7,500004,233,233,131,0,0,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,6.737244442938424
17,3060524,2,2,110018,233,233,228,0,0,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,11.805937349646026
18,3064259,0,21,110015,233,233,131,2,0,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,10.324466605795774
19,3057867,2,2,110018,308,233,228,0,0,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,10.417240874743607
20,2870652,1,3,560011,233,245,228,0,0,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,10.811497385736905
21,2920134,1,3,560011,233,245,131,0,0,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,11.264909459287846
22,2866111,0,21,110015,233,233,131,0,0,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,11.587028762039226
23,2908430,1,3,560011,233,233,131,2,0,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,11.41357750652352
24,2920849,0,22,400104,233,233,131,2,0,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,16.453445310083712
25,2884266,7,5,380009,233,245,131,0,0,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,11.77602931867966
26,2819466,0,4,600024,233,233,131,2,0,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,19.005337534155053
27,2858437,0,17,800001,233,233,131,0,0,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,12.14204706673253
28,3050523,2,2,110018,308,233,131,0,0,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,10.97637540422665
29,2876140,0,22,400104,233,245,131,2,0,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,13.515350732079282
30,2824732,8,7,500004,233,233,131,0,0,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,11.377442397469748
31,2839241,7,17,800001,233,233,131,1,0,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,15.195354212539609
32,2868409,0,22,400104,233,233,131,0,0,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,11.014787847355246
33,2907041,9,1,400059,233,233,131,0,0,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,13.352839183571101
34,2844455,0,7,500004,233,233,131,2,0,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,13.21560664714551
35,2867312,2,1,400059,233,233,131,0,0,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,12.477554770782428
36,2972765,0,22,400104,0,233,131,3,0,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,15.494662056165064
37,2983511,2,2,110018,233,233,131,0,0,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,11.451976901674774
38,2857281,0,3,560011,233,233,131,0,0,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,9.540224469539014
39,3051964,1,23,400001,233,233,131,0,0,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,9.599668010417378
40,2981162,0,21,110015,233,233,131,0,0,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,12.277742415747886
41,3014945,0,26,560066,201,233,131,3,0,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,13.694529237187991
42,2999197,1,27,110034,233,233,131,0,0,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,13.80306252471479
43,2829017,1,7,500004,233,233,131,0,0,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,9.520238160074905
44,2848996,8,3,560011,233,233,131,0,0,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,7.947599937602649
45,2870108,0,22,400104,233,233,131,2,0,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,14.43350491111561
46,2859591,1,2,110018,233,233,131,0,0,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,13.358111510158679
47,2861847,1,3,560011,233,233,228,0,0,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,9.720572064230119
48,2880678,1,2,110018,233,233,228,0,0,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,11.92999861350384
49,2872297,0,22,400104,233,233,131,1,0,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,15.09911268199756
50,2930663,0,21,110015,233,233,131,1,0,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,13.18853808865704
51,2936017,1,23,400001,233,233,131,0,0,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,13.905903373804389
52,2940545,10,3,560011,233,233,228,0,0,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,12.532474731912998
53,2887249,11,9,411016,233,233,228,2,0,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,17.845101343096253
54,2978501,12,2,110018,308,233,228,0,0,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,11.731686724097214
55,3013507,13,5,380009,201,233,131,3,0,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,17.1674471149736
56,3035976,1,6,160059,233,233,228,2,0,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,10.276805435505333
57,3057218,0,26,560066,233,233,131,2,0,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,12.712089672453438
58,3086262,1,23,400001,233,233,228,0,0,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,8.08437156771076
59,3078906,0,22,400104,233,233,131,0,0,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,7.081516823985841
60,2822707,0,21,110015,233,245,131,0,0,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,10.779181031840482
61,2874119,1,3,560011,233,245,228,2,0,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,11.939847195075819
62,2879096,0,11,641012,201,201,131,3,0,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,15.705765362370679
63,3041893,11,2,110018,233,233,228,1,0,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,18.131348864904233
64,3085048,0,26,560066,233,233,228,0,0,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,9.731226973417648
65,2833586,0,21,110015,201,233,131,4,0,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,15.116577348453058
66,3029632,1,27,110034,233,233,131,2,0,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,14.066530267389153
67,2953931,0,8,700064,233,233,131,0,0,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,11.443009332035686
68,2946014,0,4,600024,233,233,131,0,0,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,11.008360382103927
69,3011371,1,23,400001,308,233,131,0,0,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,10.128664275025963
70,3084072,0,21,110015,233,233,131,0,0,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,7.662587719563128
71,2896365,0,8,700064,233,233,228,0,0,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,10.984671348917898
72,3021704,2,12,302006,233,233,131,2,0,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,14.70206354228995
73,2904158,0,7,500004,233,233,131,0,0,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,9.132771380987053
74,3035437,2,2,110018,233,233,228,2,1,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,25.525666562881675
75,2870227,0,2,110018,233,233,131,0,0,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,11.62052456823861
